"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B19113_001E","Estimate!!Median family income in the past 12 months (in 2023 inflation-adjusted dollars)"
"B19113_001M","Margin of Error!!Median family income in the past 12 months (in 2023 inflation-adjusted dollars)"
